rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
1,py123d-garage,py123d-garage (host),nuplan,1672.4355330808735,Policy Capability Score,1596.0666287348108,1748.8044374269364,152.73780869212555,0.95,Policy Capability Score (95% interval),zoib,0.9178006909387022,Average Scene Score,1,2,1,Rank Spread,1.0849822093430856,Average Distance Between At-Fault Incidents,1.0849822093430856,avg_dist_between_incidents_at_fault,0.6897745714087807,Distance to GT Trajectory,1672.4355330808735,1672.4355330808735,021-nuplan-0062-v1,d7e190df-ceaf-4ec3-8ce8-49571baaec93,,submission,SUCCEEDED,,direct-p5,2026-09-12T07:11:08+00:00
2,py123d-garage,py123d-garage (host),nuplan,1600,Policy Capability Score,1517.9860600081909,1682.013939991809,164.02787998361805,0.95,Policy Capability Score (95% interval),zoib,0.9056610110200036,Average Scene Score,1,3,2,Rank Spread,0.8732967208981675,Average Distance Between At-Fault Incidents,0.8732967208981675,avg_dist_between_incidents_at_fault,0.7685910535274926,Distance to GT Trajectory,1600,1600,007-nuplan-0062-v1,74fd4513-845c-40cd-9749-e73a12ef74ed,,submission,SUCCEEDED,,direct-p5,2026-09-04T14:43:34+00:00
3,py123d-garage,py123d-garage (host),nuplan,1498.5783048110375,Policy Capability Score,1432.5640868978821,1564.5925227241928,132.02843582631067,0.95,Policy Capability Score (95% interval),zoib,0.8886575891567055,Average Scene Score,2,4,2,Rank Spread,1.3347991150493026,Average Distance Between At-Fault Incidents,1.3347991150493026,avg_dist_between_incidents_at_fault,0.8142376359033465,Distance to GT Trajectory,1498.5783048110375,1498.5783048110375,022-nuplan-0062-v1,92865d00-d03e-479c-b109-dce4c1e32780,,submission,SUCCEEDED,,direct-p5,2026-09-11T22:23:06+00:00
4,py123d-garage,py123d-garage (host),nuplan,1436.0587695495847,Policy Capability Score,1374.1626897062379,1497.9548493929312,123.79215968669337,0.95,Policy Capability Score (95% interval),zoib,0.8891324542125426,Average Scene Score,3,5,2,Rank Spread,1.7244693380358262,Average Distance Between At-Fault Incidents,1.7244693380358262,avg_dist_between_incidents_at_fault,0.8136472184832062,Distance to GT Trajectory,1436.0587695495847,1436.0587695495847,014-nuplan-0014-v1,1a7f9e1a-4295-478e-b9a0-194c04de62a8,,submission,SUCCEEDED,,direct-p5,2026-09-07T00:27:06+00:00
5,py123d-garage,py123d-garage (host),nuplan,1405.4292749401834,Policy Capability Score,1346.826133172895,1464.0324167074716,117.20628353457664,0.95,Policy Capability Score (95% interval),zoib,0.87468408411461,Average Scene Score,4,5,1,Rank Spread,0.6149866942130036,Average Distance Between At-Fault Incidents,0.6149866942130036,avg_dist_between_incidents_at_fault,1.176504627270322,Distance to GT Trajectory,1405.4292749401834,1405.4292749401834,017-nuplan-0014-v1,68f4415c-ccd1-48c5-ab7c-a3b9a2745ca7,,submission,SUCCEEDED,,direct-p5,2026-09-07T21:13:35+00:00
6,host,Host (host),nuplan,1269.7197376862705,Policy Capability Score,1218.3898541222056,1321.0496212503353,102.65976712812972,0.95,Policy Capability Score (95% interval),zoib,0.819390671002213,Average Scene Score,6,7,1,Rank Spread,0.3655726060624275,Average Distance Between At-Fault Incidents,0.3655726060624275,avg_dist_between_incidents_at_fault,1.1779237849138766,Distance to GT Trajectory,1269.7197376862705,1269.7197376862705,go_straight_with_delay_v2,60321101-cf79-4705-89d0-71662737a0e0,,submission,SUCCEEDED,,direct-p5,2026-09-01T20:37:59+00:00
7,host,Host (host),nuplan,1267.191826293098,Policy Capability Score,1214.2890269857967,1320.0946256003997,105.80559861460301,0.95,Policy Capability Score (95% interval),zoib,0.819390671002213,Average Scene Score,6,7,1,Rank Spread,0.3655726060624275,Average Distance Between At-Fault Incidents,0.3655726060624275,avg_dist_between_incidents_at_fault,1.1779237849138764,Distance to GT Trajectory,1267.191826293098,1267.191826293098,go_straight_with_delay_v2,7a0dcd35-bca1-4a04-9ff4-5efccbe96171,,submission,SUCCEEDED,,direct-p5,2026-09-02T12:30:33+00:00
8,team-lucifer,Lucifer AI,nuplan,947.7619729337898,Policy Capability Score,905.7429507037089,989.7809951638708,84.03804446016193,0.95,Policy Capability Score (95% interval),zoib,0.7747803029539043,Average Scene Score,8,9,1,Rank Spread,1.082306833778712,Average Distance Between At-Fault Incidents,1.082306833778712,avg_dist_between_incidents_at_fault,1.8535839844877433,Distance to GT Trajectory,947.7619729337898,947.7619729337898,wajepa-s2-20260904,1340e69a-ac0f-4a1f-96a3-507b315c51aa,,submission,SUCCEEDED,,direct-p5,2026-09-10T06:09:06+00:00
9,host,Host (host),nuplan,930.3209292260472,Policy Capability Score,893.9915229722982,966.650335479796,72.65881250749783,0.95,Policy Capability Score (95% interval),zoib,0.7513531491976739,Average Scene Score,8,9,1,Rank Spread,0.398184967933469,Average Distance Between At-Fault Incidents,0.398184967933469,avg_dist_between_incidents_at_fault,2.2972494468152496,Distance to GT Trajectory,930.3209292260472,930.3209292260472,policy5,e4e7b293-b976-452b-b962-a1d839c4119d,,submission,SUCCEEDED,,direct-p5,2026-09-02T21:40:31+00:00
10,symphi,SymPhi,nuplan,841.4188496366226,Policy Capability Score,811.8721275933776,870.9655716798674,59.09344408648974,0.95,Policy Capability Score (95% interval),zoib,0.6655680202187074,Average Scene Score,10,11,1,Rank Spread,0.21814421316236007,Average Distance Between At-Fault Incidents,0.21814421316236007,avg_dist_between_incidents_at_fault,3.0455560632387146,Distance to GT Trajectory,841.4188496366226,841.4188496366226,vavam-nav-medoid-v1,8598ad07-510a-4742-aee6-77248c08b44b,,submission,SUCCEEDED,,direct-p5,2026-09-11T04:24:10+00:00
11,host,Host (host),nuplan,803.968704415916,Policy Capability Score,777.711693632661,830.225715199171,52.514021566509996,0.95,Policy Capability Score (95% interval),zoib,0.6418312237537205,Average Scene Score,10,12,2,Rank Spread,0.23324854152551783,Average Distance Between At-Fault Incidents,0.23324854152551783,avg_dist_between_incidents_at_fault,3.8959359023994438,Distance to GT Trajectory,803.968704415916,803.968704415916,policy_4,fe2ca883-a106-462e-9150-ad4c99fa1394,,submission,SUCCEEDED,,direct-p5,2026-09-09T12:40:11+00:00
12,alpain-autonomy,Alpain Autonomy (host),nuplan,808.5164585919066,Policy Capability Score,782.2867907317516,834.7461264520616,52.45933572031004,0.95,Policy Capability Score (95% interval),zoib,0.6378335086762654,Average Scene Score,10,12,2,Rank Spread,0.22843934952590744,Average Distance Between At-Fault Incidents,0.22843934952590744,avg_dist_between_incidents_at_fault,3.8684105663324253,Distance to GT Trajectory,808.5164585919066,808.5164585919066,mars-v0-2hz-nuplan,ed1ad237-1b81-4a26-b5d3-792a0e2ab726,,submission,SUCCEEDED,,direct-p5,2026-09-08T18:11:41+00:00
13,host,Host (host),nuplan,634.4665999616656,Policy Capability Score,610.3277148613488,658.6054850619823,48.27777020063354,0.95,Policy Capability Score (95% interval),zoib,0.43548154402065664,Average Scene Score,13,14,1,Rank Spread,0.1409256603636627,Average Distance Between At-Fault Incidents,0.1409256603636627,avg_dist_between_incidents_at_fault,3.93887198540837,Distance to GT Trajectory,634.4665999616656,634.4665999616656,policy_4,c5fb6e70-d78c-465e-8384-4150fb1f1712,,submission,SUCCEEDED,,direct-p5,2026-09-02T14:23:03+00:00
