rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
1,fox-srdc,Fox SRDC,pai,2121,Policy Capability Score,2073.1979537412535,2168.3007442629623,95.10279052170881,0.95,Policy Capability Score (95% interval),zoib,0.6206965920471819,Average Scene Score,1,1,0,Rank Spread,0.5553704682627075,Average Distance Between At-Fault Incidents,0.5553704682627075,avg_dist_between_incidents_at_fault,2.4176492483025385,Distance to GT Trajectory,2121,2121,v1,2c55ff74-77b4-4f78-9c66-297a2733fb1f,,submission,SUCCEEDED,,direct-p5,2026-09-18T02:03:09+00:00
2,team-rvs,Anonymous (host),pai,2057,Policy Capability Score,2017.7455581135719,2096.091549148215,78.34599103464325,0.95,Policy Capability Score (95% interval),zoib,0.624590392834819,Average Scene Score,2,3,1,Rank Spread,0.7132898600692796,Average Distance Between At-Fault Incidents,0.7132898600692796,avg_dist_between_incidents_at_fault,1.6298521909235266,Distance to GT Trajectory,2057,2057,cvt3-s156-v1,4c07d2c7-f055-4ffd-b640-edcb20f65fc2,,submission,SUCCEEDED,,direct-p5,2026-09-13T14:40:34+00:00
3,host,Host (host),pai,2000,Policy Capability Score,1962.917430088277,2037.082569911723,74.16513982344622,0.95,Policy Capability Score (95% interval),zoib,0.5601755764900682,Average Scene Score,3,5,2,Rank Spread,0.5666558480430104,Average Distance Between At-Fault Incidents,0.5666558480430104,avg_dist_between_incidents_at_fault,2.2851225192909865,Distance to GT Trajectory,2000,2000,internal,internal,internal,benchmark,SUCCEEDED,,benchmark,2026-09-02T13:50:20+00:00
4,hri-cmr,Team HRI-CMR,pai,2002,Policy Capability Score,1958.543956282514,2046.2510609558246,87.7071046733106,0.95,Policy Capability Score (95% interval),zoib,0.5038829039330738,Average Scene Score,2,5,3,Rank Spread,0.2909173806742253,Average Distance Between At-Fault Incidents,0.2909173806742253,avg_dist_between_incidents_at_fault,2.371440182229261,Distance to GT Trajectory,2002,2002,distiltcm4b-lateral8-nfe1,6a807d9e-7b46-4b9e-95d8-13970e17d580,,submission,SUCCEEDED,,direct-p5,2026-09-18T10:52:05+00:00
5,hri-cmr,Team HRI-CMR,pai,1998,Policy Capability Score,1954.64212230478,2041.916640941,87.27451863621991,0.95,Policy Capability Score (95% interval),zoib,0.4973668624645906,Average Scene Score,3,5,2,Rank Spread,0.289611822353499,Average Distance Between At-Fault Incidents,0.289611822353499,avg_dist_between_incidents_at_fault,2.322717103038096,Distance to GT Trajectory,1998,1998,distiltcm4b-lateral8-5hz-nfe1,fe7b9d61-3695-46bc-a1a8-27b92acba41f,,submission,SUCCEEDED,,direct-p5,2026-09-19T03:17:18+00:00
6,py123d-garage,py123d-garage (host),pai,1936,Policy Capability Score,1901.0783220888766,1970.0388609411025,68.96053885222591,0.95,Policy Capability Score (95% interval),zoib,0.47264646234642954,Average Scene Score,6,13,7,Rank Spread,0.2825008956441853,Average Distance Between At-Fault Incidents,0.2825008956441853,avg_dist_between_incidents_at_fault,1.647946558413445,Distance to GT Trajectory,1936,1936,047-pai-seed2-v1,ab7ae0a5-d40c-4463-b7fd-be2b673f9071,,submission,SUCCEEDED,,direct-p5,2026-09-20T02:56:31+00:00
7,py123d-garage,py123d-garage (host),pai,1930,Policy Capability Score,1899.323538280467,1961.2191999853994,61.895661704932536,0.95,Policy Capability Score (95% interval),zoib,0.4942671274825778,Average Scene Score,6,14,8,Rank Spread,0.31258225140275936,Average Distance Between At-Fault Incidents,0.31258225140275936,avg_dist_between_incidents_at_fault,1.4222450271507745,Distance to GT Trajectory,1930,1930,047-pai-seed1-v1,bf303ef7-0bd2-401e-abbb-a41df92a6f79,,submission,SUCCEEDED,,direct-p5,2026-09-19T23:44:29+00:00
8,py123d-garage,py123d-garage (host),pai,1929,Policy Capability Score,1896.5110500649396,1962.232076523061,65.72102645812151,0.95,Policy Capability Score (95% interval),zoib,0.47532324377499313,Average Scene Score,6,14,8,Rank Spread,0.29320455573993665,Average Distance Between At-Fault Incidents,0.29320455573993665,avg_dist_between_incidents_at_fault,1.5162474158829617,Distance to GT Trajectory,1929,1929,047-pai-seed0-v2,0500ef7b-2649-42f5-aa12-0625376f87f0,,submission,SUCCEEDED,,direct-p5,2026-09-19T20:37:59+00:00
9,axe,AXE,pai,1926,Policy Capability Score,1891.852132573493,1960.1896439830302,68.33751140953723,0.95,Policy Capability Score (95% interval),zoib,0.5027779145515154,Average Scene Score,6,15,9,Rank Spread,0.377803466786237,Average Distance Between At-Fault Incidents,0.377803466786237,avg_dist_between_incidents_at_fault,1.8907877347739763,Distance to GT Trajectory,1926,1926,axe-v9,61c6002f-9721-4270-9fab-45464c429ca7,,submission,SUCCEEDED,,direct-p5,2026-09-17T09:44:05+00:00
10,axe,AXE,pai,1901,Policy Capability Score,1868.6069691052862,1933.6711048286904,65.0641357234042,0.95,Policy Capability Score (95% interval),zoib,0.48281729544772856,Average Scene Score,7,18,11,Rank Spread,0.3835355474553392,Average Distance Between At-Fault Incidents,0.3835355474553392,avg_dist_between_incidents_at_fault,1.8278108355022231,Distance to GT Trajectory,1901,1901,axe-v8,72efd77f-8428-49d2-9ab2-e1fb77f5c908,,submission,SUCCEEDED,,direct-p5,2026-09-12T11:33:51+00:00
11,py123d-garage,py123d-garage (host),pai,1908,Policy Capability Score,1871.4337007319075,1944.3836719202511,72.94997118834362,0.95,Policy Capability Score (95% interval),zoib,0.44474852184052194,Average Scene Score,6,18,12,Rank Spread,0.23989462979523463,Average Distance Between At-Fault Incidents,0.23989462979523463,avg_dist_between_incidents_at_fault,1.8112741633509069,Distance to GT Trajectory,1908,1908,015-pai-0014-v1,f1f90c7e-6308-40ac-8aeb-e7f61917eb26,,submission,SUCCEEDED,,direct-p5,2026-09-07T09:09:36+00:00
12,py123d-garage,py123d-garage (host),pai,1911,Policy Capability Score,1873.2590551868516,1948.2262689746324,74.96721378778079,0.95,Policy Capability Score (95% interval),zoib,0.4219078120885576,Average Scene Score,6,18,12,Rank Spread,0.22296924313821415,Average Distance Between At-Fault Incidents,0.22296924313821415,avg_dist_between_incidents_at_fault,1.7929414485165363,Distance to GT Trajectory,1911,1911,015-pai-0030-v1,06c4f956-1d5d-4637-a643-4b0a645edd36,,submission,SUCCEEDED,,direct-p5,2026-09-07T12:19:01+00:00
13,simforge-synthetic,Simforge AI,pai,1901,Policy Capability Score,1864.050178191497,1937.624770231684,73.57459204018687,0.95,Policy Capability Score (95% interval),zoib,0.39629069682437623,Average Scene Score,7,19,12,Rank Spread,0.2621728585295395,Average Distance Between At-Fault Incidents,0.2621728585295395,avg_dist_between_incidents_at_fault,2.2360844070328874,Distance to GT Trajectory,1901,1901,sub-20260816a,97acce59-51e7-4ba8-be85-5c72c1ea6f52,,submission,SUCCEEDED,,direct-p5,2026-09-21T15:39:10+00:00
