rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
1,na-la,NaLa,nuplan,1720.722554530429,Policy Capability Score,zoib,3.357929800934357,Average Distance Between At-Fault Incidents,3.357929800934357,avg_dist_between_incidents_at_fault,0.9804824187258063,Distance to GT Trajectory,1720.722554530429,1720.722554530429,sub1,1bb06e8b-9d20-4018-98e1-5ba612e4e44c,SUCCEEDED,,direct-p5,2026-07-15T14:03:19+00:00
2,metamon,메타몽,nuplan,1720.722554530429,Policy Capability Score,zoib,3.0878026518189836,Average Distance Between At-Fault Incidents,3.0878026518189836,avg_dist_between_incidents_at_fault,2.649452939277126,Distance to GT Trajectory,1720.722554530429,1720.722554530429,vavam-route-cudagraph-v5-nuplan-20260715,dc43667e-7d95-4d6c-82f5-1718354d50a2,SUCCEEDED,,direct-p5,2026-07-15T06:40:24+00:00
3,symphi,SymPhi,nuplan,1667.5141030605485,Policy Capability Score,zoib,1.668643023441868,Average Distance Between At-Fault Incidents,1.668643023441868,avg_dist_between_incidents_at_fault,3.4757546907975594,Distance to GT Trajectory,1667.5141030605485,1667.5141030605485,vavam-gain105-v1,6deafff8-12b1-44ff-a8b7-1b9b1e4b7237,SUCCEEDED,,direct-p5,2026-08-27T13:54:53+00:00
4,host,Host,nuplan,1600,Policy Capability Score,zoib,1.6808987005295144,Average Distance Between At-Fault Incidents,1.6808987005295144,avg_dist_between_incidents_at_fault,3.0713732515264813,Distance to GT Trajectory,1600,1600,policy1,8103e564-8d75-4ea2-8f87-e0c59ed052ab,SUCCEEDED,,direct-p5,2026-06-16T02:51:53+00:00
5,team-foxhihi,Team foxhihi,nuplan,1612.4086271176557,Policy Capability Score,zoib,1.6243899007034428,Average Distance Between At-Fault Incidents,1.6243899007034428,avg_dist_between_incidents_at_fault,3.0305246532471513,Distance to GT Trajectory,1612.4086271176557,1612.4086271176557,nu-driver-b1,9711d69f-66dc-47bb-a0ce-0584193a682f,SUCCEEDED,,direct-p5,2026-07-30T12:30:21+00:00
6,team-lucifer,Lucifer AI,nuplan,1590.362313910076,Policy Capability Score,zoib,1.621445921723013,Average Distance Between At-Fault Incidents,1.621445921723013,avg_dist_between_incidents_at_fault,3.0451193700227823,Distance to GT Trajectory,1590.362313910076,1590.362313910076,vavam-stock-20260829,6ba9c546-377a-437d-bafd-64de8892392e,SUCCEEDED,,direct-p5,2026-08-29T12:46:54+00:00
7,team-foxhihi,Team foxhihi,nuplan,1611.8264910616394,Policy Capability Score,zoib,1.5218307592702458,Average Distance Between At-Fault Incidents,1.5218307592702458,avg_dist_between_incidents_at_fault,3.045713334604625,Distance to GT Trajectory,1611.8264910616394,1611.8264910616394,nu-driver-b1s,1033b74c-7033-4e03-87c5-a36b6f4d160d,SUCCEEDED,,direct-p5,2026-07-31T13:37:51+00:00
8,magma,Team Magma,nuplan,1587.8349903620526,Policy Capability Score,zoib,1.52082587281464,Average Distance Between At-Fault Incidents,1.52082587281464,avg_dist_between_incidents_at_fault,3.057450841605928,Distance to GT Trajectory,1587.8349903620526,1587.8349903620526,v4EMA,eecf3fe0-f078-443a-8211-b40aaea89a3a,SUCCEEDED,,direct-p5,2026-07-30T10:02:21+00:00
9,symphi,SymPhi,nuplan,1584.4508970540405,Policy Capability Score,zoib,1.4301524502799483,Average Distance Between At-Fault Incidents,1.4301524502799483,avg_dist_between_incidents_at_fault,3.055213322253652,Distance to GT Trajectory,1584.4508970540405,1584.4508970540405,vavam-sample-v2,ff60b049-5924-4136-9d39-ffd70de9cb5f,SUCCEEDED,,direct-p5,2026-08-25T04:36:50+00:00
10,team-foxhihi,Team foxhihi,nuplan,1498.9650531936559,Policy Capability Score,zoib,4.663609268049079,Average Distance Between At-Fault Incidents,4.663609268049079,avg_dist_between_incidents_at_fault,1.6485240639379801,Distance to GT Trajectory,1498.9650531936559,1498.9650531936559,nu-driver-c4,788b5f9c-885f-4ed4-9a60-74c4ad0eb297,SUCCEEDED,,direct-p5,2026-08-17T03:50:24+00:00
11,team-foxhihi,Team foxhihi,nuplan,1465.264096856116,Policy Capability Score,zoib,5.690854629446165,Average Distance Between At-Fault Incidents,5.690854629446165,avg_dist_between_incidents_at_fault,1.1462592267457838,Distance to GT Trajectory,1465.264096856116,1465.264096856116,nu-driver-c6,82602a21-9431-4b4e-8972-b2331471056f,SUCCEEDED,,direct-p5,2026-08-25T03:52:54+00:00
12,cothlory,Cothlory,nuplan,1436.893703765847,Policy Capability Score,zoib,3.894960528458672,Average Distance Between At-Fault Incidents,3.894960528458672,avg_dist_between_incidents_at_fault,0.5628513396470723,Distance to GT Trajectory,1436.893703765847,1436.893703765847,v1,0e5a9810-5127-466b-8882-247b9838d575,SUCCEEDED,,direct-p5,2026-07-02T10:48:51+00:00
