rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
1,team-alphamale,ILoveAlpamayo,pai,1628.889308453225,Policy Capability Score,zoib,0.4353683498052651,Average Distance Between At-Fault Incidents,0.4353683498052651,avg_dist_between_incidents_at_fault,2.822732000577381,Distance to GT Trajectory,1628.889308453225,1628.889308453225,baseline-k5-medoid,6f8a7bc0-42b2-49c1-895e-1ae613e400ef,SUCCEEDED,,direct-p5,2026-07-31T15:05:36+00:00
2,team-andrew-fox,Team Andrew S,pai,1650.571774835568,Policy Capability Score,zoib,0.45478588549854737,Average Distance Between At-Fault Incidents,0.45478588549854737,avg_dist_between_incidents_at_fault,2.8472363191345615,Distance to GT Trajectory,1650.571774835568,1650.571774835568,v1-leadguard,71b4850a-a032-4a3d-a2b9-26672a7b1d6e,SUCCEEDED,,direct-p5,2026-08-04T03:25:39+00:00
3,lastga,lastGA,pai,1604.826250679565,Policy Capability Score,zoib,0.4286537624653514,Average Distance Between At-Fault Incidents,0.4286537624653514,avg_dist_between_incidents_at_fault,2.823171574216488,Distance to GT Trajectory,1604.826250679565,1604.826250679565,vavam-b-139k-deterministic-baseline-20260720,c4b08c37-9340-4793-bcd2-96a2f0bb3c00,SUCCEEDED,,direct-p5,2026-07-24T10:50:37+00:00
4,fyrian-migu,Fyrian-Migu,pai,1598.1457604204224,Policy Capability Score,zoib,0.3440061654430554,Average Distance Between At-Fault Incidents,0.3440061654430554,avg_dist_between_incidents_at_fault,2.7799939907614926,Distance to GT Trajectory,1598.1457604204224,1598.1457604204224,p9-apf-cg-submit2-20260729-130419,355b0e61-ff54-4e2d-9839-9bcdddda1f1f,SUCCEEDED,,direct-p5,2026-07-29T04:28:36+00:00
5,alpain-autonomy,Alpain Autonomy,pai,1609.4712048840765,Policy Capability Score,zoib,0.5064144181653008,Average Distance Between At-Fault Incidents,0.5064144181653008,avg_dist_between_incidents_at_fault,2.8248467137101,Distance to GT Trajectory,1609.4712048840765,1609.4712048840765,abc-v1,f79da270-918c-43cc-93d4-2c0d54be9040,SUCCEEDED,,direct-p5,2026-08-09T22:29:07+00:00
6,team-alphamale,ILoveAlpamayo,pai,1607.9710687092556,Policy Capability Score,zoib,0.4128818477767571,Average Distance Between At-Fault Incidents,0.4128818477767571,avg_dist_between_incidents_at_fault,2.86550684623073,Distance to GT Trajectory,1607.9710687092556,1607.9710687092556,im-so-done-with-alpamayo,87b245f3-0122-4402-a1e2-330bddabe7f7,SUCCEEDED,,direct-p5,2026-08-19T04:02:44+00:00
7,host,Host,pai,1600,Policy Capability Score,zoib,0.38794912710724744,Average Distance Between At-Fault Incidents,0.38794912710724744,avg_dist_between_incidents_at_fault,2.789016587810132,Distance to GT Trajectory,1600,1600,policy1,9e7cb1c7-ee2b-4dab-90be-ac8bd073925a,SUCCEEDED,,direct-p5,2026-06-15T22:57:07+00:00
8,fyrian-migu,Fyrian-Migu,pai,1591.7122489082567,Policy Capability Score,zoib,0.33019772166832495,Average Distance Between At-Fault Incidents,0.33019772166832495,avg_dist_between_incidents_at_fault,2.757916384336898,Distance to GT Trajectory,1591.7122489082567,1591.7122489082567,p10-ors10-context-risk-v3-20260731-162428,20ab92af-3687-4a67-ae7c-9b22dfe35226,SUCCEEDED,,direct-p5,2026-07-31T11:32:35+00:00
9,team-andrew-fox,Team Andrew S,pai,1597.876720025988,Policy Capability Score,zoib,0.38290854873613916,Average Distance Between At-Fault Incidents,0.38290854873613916,avg_dist_between_incidents_at_fault,2.887816091485013,Distance to GT Trajectory,1597.876720025988,1597.876720025988,v1-k5medoid,0eccb744-a7a3-457a-9edb-d7c271636eb1,SUCCEEDED,,direct-p5,2026-08-05T05:07:37+00:00
10,magma,Team Magma,pai,1592.3129400940866,Policy Capability Score,zoib,0.356897480922526,Average Distance Between At-Fault Incidents,0.356897480922526,avg_dist_between_incidents_at_fault,2.7593127591290743,Distance to GT Trajectory,1592.3129400940866,1592.3129400940866,v4EMA,31dd94ee-2735-4eb8-adb9-f02b73e09709,SUCCEEDED,,direct-p5,2026-07-27T03:02:37+00:00
11,team-rcy,Team RCY,pai,1579.2761261627425,Policy Capability Score,zoib,0.3511518035576412,Average Distance Between At-Fault Incidents,0.3511518035576412,avg_dist_between_incidents_at_fault,2.768108819791829,Distance to GT Trajectory,1579.2761261627425,1579.2761261627425,rc-2,fcb8e283-5861-4751-91cb-6b344de96614,SUCCEEDED,,direct-p5,2026-07-27T03:36:09+00:00
12,alpain-autonomy,Alpain Autonomy,pai,1589.6738643877513,Policy Capability Score,zoib,0.545367830200793,Average Distance Between At-Fault Incidents,0.545367830200793,avg_dist_between_incidents_at_fault,2.88578511749149,Distance to GT Trajectory,1589.6738643877513,1589.6738643877513,abc-v11,7c0064af-3113-497a-8fd0-97f9d3d9a904,SUCCEEDED,,direct-p5,2026-08-27T12:48:39+00:00
13,team-alphamale,ILoveAlpamayo,pai,1593.7533143378205,Policy Capability Score,zoib,0.3900771969598458,Average Distance Between At-Fault Incidents,0.3900771969598458,avg_dist_between_incidents_at_fault,2.7190913273348456,Distance to GT Trajectory,1593.7533143378205,1593.7533143378205,ihatealpamayo_v1,2e811c65-319d-4708-b6cd-af8b8dd65d3e,SUCCEEDED,,direct-p5,2026-08-20T06:24:08+00:00
14,metamon,메타몽,pai,1572.3852962470833,Policy Capability Score,zoib,0.38564936228197616,Average Distance Between At-Fault Incidents,0.38564936228197616,avg_dist_between_incidents_at_fault,2.850494289022641,Distance to GT Trajectory,1572.3852962470833,1572.3852962470833,vavam-noblend-k5medoid-v22-20260829,90b7fd05-af78-4a28-b7bf-bc6791f94a20,SUCCEEDED,,direct-p5,2026-08-28T23:31:08+00:00
15,metamon,메타몽,pai,1578.7729530439012,Policy Capability Score,zoib,0.3733571059391419,Average Distance Between At-Fault Incidents,0.3733571059391419,avg_dist_between_incidents_at_fault,2.736571126380633,Distance to GT Trajectory,1578.7729530439012,1578.7729530439012,vavam-raw-cudagraph-v5-20260715,71c76269-18fd-4014-9cc9-8cf1b8ac7243,SUCCEEDED,,direct-p5,2026-07-15T05:51:35+00:00
16,foxconn-eason,foxconn-eason,pai,1577.0654373829823,Policy Capability Score,zoib,0.35226582082636654,Average Distance Between At-Fault Incidents,0.35226582082636654,avg_dist_between_incidents_at_fault,2.687167623543533,Distance to GT Trajectory,1577.0654373829823,1577.0654373829823,baseline-v1,202df3a2-acff-4a92-880d-c04c8f5ffc77,SUCCEEDED,,direct-p5,2026-07-28T04:05:37+00:00
17,fyrian-migu,Fyrian-Migu,pai,1580.7499000651587,Policy Capability Score,zoib,0.37177473135807326,Average Distance Between At-Fault Incidents,0.37177473135807326,avg_dist_between_incidents_at_fault,2.771267107121273,Distance to GT Trajectory,1580.7499000651587,1580.7499000651587,p12-p9-one-shot-cg-v1-20260731-232330,f172386a-85cc-4632-a38c-245239d95a3f,SUCCEEDED,,direct-p5,2026-07-31T17:09:35+00:00
